customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0000-AAAA,Male,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.25,934.11,No
0001-BHND,Female,1,Yes,No,67,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),106.57,6238.63,Yes
0002-COAG,Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,73.81,4140.66,No
0003-DVNJ,Female,0,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,42.56,1552.16,No
0004-ECAM,Male,0,No,No,38,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,18.25,747.6,No
0005-FJNP,Male,0,Yes,No,12,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,84.43,972.25,No
0006-GQAS,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),65.04,695.25,No
0007-HXNV,Female,1,No,No,18,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),44.07,748.0,No
0008-IEAY,Female,0,No,No,4,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,61.51,238.56,Yes
0009-JLNB,Female,1,No,Yes,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Mailed check,31.07, ,No
0010-KSAE,Male,0,No,Yes,4,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),67.18,241.77,No
0011-LZNH,Female,0,No,No,39,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),98.58,3687.3,No
0012-MGAK,Female,0,No,Yes,57,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),63.46,3681.37,No
0013-NNNN,Male,0,No,Yes,65,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,79.61,4726.21,No
0014-OUAQ,Male,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,89.64,939.71,Yes
0015-PBNT,Male,1,No,No,48,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),82.55,3515.25,No
0016-QIAW,Male,1,Yes,No,12,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,61.62,726.68,No
0017-RPNZ,Female,1,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.74,80.61,Yes
0018-SWAC,Male,0,No,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),31.96,1784.94,No
0019-TDNF,Male,0,Yes,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.48,1445.9,No
0020-UKAI,Female,0,No,Yes,52,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,92.34,5256.55,No
0021-VRNL,Male,0,Yes,No,1,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,72.63, ,No
0022-WYAO,Male,0,No,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.33,1093.49,No
0023-XFNR,Male,0,Yes,No,8,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,76.75,647.23,Yes
0024-YMAU,Male,0,No,No,29,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),58.62,1453.55,No
0025-ZTNX,Female,0,No,Yes,12,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Mailed check,115.87,1568.28,No
0026-AAAA,Male,0,Yes,No,4,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,70.54,285.67,No
0027-BHND,Female,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),41.68,713.42,Yes
0028-COAG,Female,0,Yes,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Credit card (automatic),118.75, ,No
0029-DVNJ,Male,0,Yes,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),37.95,2143.05,No
0030-ECAM,Female,0,Yes,Yes,42,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),118.75,4403.66,No
0031-FJNP,Male,0,Yes,Yes,51,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),118.75,5847.87,No
0032-GQAS,Male,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.25,336.0,No
0033-HXNV,Female,0,Yes,No,3,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),85.04,230.34,No
0034-IEAY,Female,0,No,Yes,6,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.6,363.79,No
0035-JLNB,Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,30.51,2250.1,No
0036-KSAE,Male,0,No,No,5,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,21.9,112.52,No
0037-LZNH,Male,0,Yes,No,31,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,89.6,2960.73,No
0038-MGAK,Female,0,No,Yes,2,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),85.94,182.38,No
0039-NNNN,Male,0,No,No,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.25,39.11,Yes
0040-OUAQ,Male,0,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.6,774.41,Yes
0041-PBNT,Male,0,Yes,No,4,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,51.13,184.31,Yes
0042-QIAW,Male,0,No,No,61,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.89,4373.93,No
0043-RPNZ,Female,0,Yes,Yes,51,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Mailed check,70.27,3977.84,No
0044-SWAC,Male,0,Yes,Yes,54,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,63.05,3357.59,No
0045-TDNF,Female,0,Yes,No,71,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),69.54,4369.69,No
0046-UKAI,Male,0,Yes,No,53,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,70.85,3256.38,No
0047-VRNL,Female,0,Yes,Yes,67,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),61.75,4310.89,No
0048-WYAO,Female,1,No,No,11,Yes,No,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),118.75,1307.07,No
0049-XFNR,Male,0,Yes,No,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,769.88,Yes
0050-YMAU,Female,0,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.25,721.71,No
